TeamName,RoundType,Won,Lost
SH,ecoeco,3,3
SH,ecofull-buy,0,0
SH,ecosemi-buy,2,3
SH,ecosemi-eco,0,0
SH,full-buyeco,0,0
SH,full-buyfull-buy,12,9
SH,full-buysemi-buy,2,6
SH,full-buysemi-eco,1,0
SH,semi-buyeco,0,0
SH,semi-buyfull-buy,2,7
SH,semi-buysemi-buy,1,0
SH,semi-buysemi-eco,1,0
SH,semi-ecoeco,0,0
SH,semi-ecofull-buy,4,2
SH,semi-ecosemi-buy,1,0
SH,semi-ecosemi-eco,0,0
ANON,ecoeco,3,1
ANON,ecofull-buy,0,1
ANON,ecosemi-buy,3,1
ANON,ecosemi-eco,0,0
ANON,full-buyeco,0,0
ANON,full-buyfull-buy,15,14
ANON,full-buysemi-buy,1,1
ANON,full-buysemi-eco,0,0
ANON,semi-buyeco,0,0
ANON,semi-buyfull-buy,1,6
ANON,semi-buysemi-buy,0,1
ANON,semi-buysemi-eco,0,0
ANON,semi-ecoeco,0,0
ANON,semi-ecofull-buy,2,4
ANON,semi-ecosemi-buy,0,0
ANON,semi-ecosemi-eco,0,0
TI,ecoeco,34,30
TI,ecofull-buy,1,2
TI,ecosemi-buy,22,23
TI,ecosemi-eco,0,0
TI,full-buyeco,1,0
TI,full-buyfull-buy,121,149
TI,full-buysemi-buy,41,27
TI,full-buysemi-eco,14,15
TI,semi-buyeco,6,6
TI,semi-buyfull-buy,45,51
TI,semi-buysemi-buy,11,11
TI,semi-buysemi-eco,2,1
TI,semi-ecoeco,0,0
TI,semi-ecofull-buy,31,38
TI,semi-ecosemi-buy,4,6
TI,semi-ecosemi-eco,0,0
VIET,ecoeco,7,5
VIET,ecofull-buy,0,0
VIET,ecosemi-buy,1,0
VIET,ecosemi-eco,0,0
VIET,full-buyeco,1,0
VIET,full-buyfull-buy,25,14
VIET,full-buysemi-buy,15,3
VIET,full-buysemi-eco,10,3
VIET,semi-buyeco,4,4
VIET,semi-buyfull-buy,6,4
VIET,semi-buysemi-buy,5,5
VIET,semi-buysemi-eco,1,0
VIET,semi-ecoeco,0,0
VIET,semi-ecofull-buy,2,0
VIET,semi-ecosemi-buy,1,2
VIET,semi-ecosemi-eco,0,0
UCAM,ecoeco,13,5
UCAM,ecofull-buy,0,0
UCAM,ecosemi-buy,2,6
UCAM,ecosemi-eco,0,0
UCAM,full-buyeco,1,1
UCAM,full-buyfull-buy,35,35
UCAM,full-buysemi-buy,26,10
UCAM,full-buysemi-eco,4,3
UCAM,semi-buyeco,6,1
UCAM,semi-buyfull-buy,10,6
UCAM,semi-buysemi-buy,4,5
UCAM,semi-buysemi-eco,2,1
UCAM,semi-ecoeco,0,0
UCAM,semi-ecofull-buy,6,4
UCAM,semi-ecosemi-buy,2,0
UCAM,semi-ecosemi-eco,0,0
GLB,ecoeco,4,4
GLB,ecofull-buy,0,0
GLB,ecosemi-buy,3,5
GLB,ecosemi-eco,0,0
GLB,full-buyeco,0,0
GLB,full-buyfull-buy,21,23
GLB,full-buysemi-buy,3,7
GLB,full-buysemi-eco,1,1
GLB,semi-buyeco,0,0
GLB,semi-buyfull-buy,4,3
GLB,semi-buysemi-buy,0,1
GLB,semi-buysemi-eco,0,1
GLB,semi-ecoeco,0,0
GLB,semi-ecofull-buy,5,9
GLB,semi-ecosemi-buy,1,0
GLB,semi-ecosemi-eco,0,0
ICAR,ecoeco,2,2
ICAR,ecofull-buy,0,0
ICAR,ecosemi-buy,3,0
ICAR,ecosemi-eco,0,0
ICAR,full-buyeco,0,0
ICAR,full-buyfull-buy,5,11
ICAR,full-buysemi-buy,1,1
ICAR,full-buysemi-eco,0,0
ICAR,semi-buyeco,0,0
ICAR,semi-buyfull-buy,0,6
ICAR,semi-buysemi-buy,1,1
ICAR,semi-buysemi-eco,0,0
ICAR,semi-ecoeco,0,0
ICAR,semi-ecofull-buy,0,3
ICAR,semi-ecosemi-buy,0,2
ICAR,semi-ecosemi-eco,0,0
VRT,ecoeco,22,18
VRT,ecofull-buy,0,2
VRT,ecosemi-buy,10,9
VRT,ecosemi-eco,0,0
VRT,full-buyeco,0,0
VRT,full-buyfull-buy,79,77
VRT,full-buysemi-buy,23,24
VRT,full-buysemi-eco,15,14
VRT,semi-buyeco,10,4
VRT,semi-buyfull-buy,29,30
VRT,semi-buysemi-buy,8,7
VRT,semi-buysemi-eco,3,3
VRT,semi-ecoeco,0,0
VRT,semi-ecofull-buy,15,18
VRT,semi-ecosemi-buy,3,3
VRT,semi-ecosemi-eco,0,0
GMT,ecoeco,13,9
GMT,ecofull-buy,1,0
GMT,ecosemi-buy,0,0
GMT,ecosemi-eco,0,0
GMT,full-buyeco,2,1
GMT,full-buyfull-buy,56,48
GMT,full-buysemi-buy,19,20
GMT,full-buysemi-eco,11,15
GMT,semi-buyeco,12,10
GMT,semi-buyfull-buy,9,12
GMT,semi-buysemi-buy,3,1
GMT,semi-buysemi-eco,0,1
GMT,semi-ecoeco,0,0
GMT,semi-ecofull-buy,2,3
GMT,semi-ecosemi-buy,0,0
GMT,semi-ecosemi-eco,0,0
DRX,ecoeco,9,7
DRX,ecofull-buy,0,0
DRX,ecosemi-buy,0,1
DRX,ecosemi-eco,0,0
DRX,full-buyeco,0,1
DRX,full-buyfull-buy,33,28
DRX,full-buysemi-buy,25,13
DRX,full-buysemi-eco,7,11
DRX,semi-buyeco,7,7
DRX,semi-buyfull-buy,4,10
DRX,semi-buysemi-buy,3,2
DRX,semi-buysemi-eco,1,0
DRX,semi-ecoeco,0,0
DRX,semi-ecofull-buy,0,1
DRX,semi-ecosemi-buy,0,0
DRX,semi-ecosemi-eco,0,0
CES,ecoeco,3,1
CES,ecofull-buy,0,0
CES,ecosemi-buy,1,0
CES,ecosemi-eco,0,0
CES,full-buyeco,0,0
CES,full-buyfull-buy,6,1
CES,full-buysemi-buy,6,0
CES,full-buysemi-eco,5,0
CES,semi-buyeco,2,0
CES,semi-buyfull-buy,2,1
CES,semi-buysemi-buy,1,0
CES,semi-buysemi-eco,0,0
CES,semi-ecoeco,0,0
CES,semi-ecofull-buy,0,0
CES,semi-ecosemi-buy,0,0
CES,semi-ecosemi-eco,0,0
PK,ecoeco,21,19
PK,ecofull-buy,1,0
PK,ecosemi-buy,2,6
PK,ecosemi-eco,0,0
PK,full-buyeco,2,1
PK,full-buyfull-buy,89,53
PK,full-buysemi-buy,42,27
PK,full-buysemi-eco,24,17
PK,semi-buyeco,15,15
PK,semi-buyfull-buy,18,15
PK,semi-buysemi-buy,11,5
PK,semi-buysemi-eco,2,2
PK,semi-ecoeco,0,0
PK,semi-ecofull-buy,7,5
PK,semi-ecosemi-buy,0,1
PK,semi-ecosemi-eco,0,0
NIGH,ecoeco,4,4
NIGH,ecofull-buy,0,0
NIGH,ecosemi-buy,4,3
NIGH,ecosemi-eco,0,0
NIGH,full-buyeco,0,0
NIGH,full-buyfull-buy,13,16
NIGH,full-buysemi-buy,4,3
NIGH,full-buysemi-eco,1,3
NIGH,semi-buyeco,1,0
NIGH,semi-buyfull-buy,7,8
NIGH,semi-buysemi-buy,0,1
NIGH,semi-buysemi-eco,0,0
NIGH,semi-ecoeco,0,0
NIGH,semi-ecofull-buy,3,6
NIGH,semi-ecosemi-buy,0,0
NIGH,semi-ecosemi-eco,0,0
FLUI,ecoeco,2,4
FLUI,ecofull-buy,0,1
FLUI,ecosemi-buy,2,4
FLUI,ecosemi-eco,0,0
FLUI,full-buyeco,0,0
FLUI,full-buyfull-buy,10,17
FLUI,full-buysemi-buy,1,3
FLUI,full-buysemi-eco,1,0
FLUI,semi-buyeco,0,0
FLUI,semi-buyfull-buy,5,4
FLUI,semi-buysemi-buy,0,1
FLUI,semi-buysemi-eco,0,0
FLUI,semi-ecoeco,0,0
FLUI,semi-ecofull-buy,2,6
FLUI,semi-ecosemi-buy,0,0
FLUI,semi-ecosemi-eco,0,0
GMB,ecoeco,16,18
GMB,ecofull-buy,1,1
GMB,ecosemi-buy,5,4
GMB,ecosemi-eco,0,0
GMB,full-buyeco,1,0
GMB,full-buyfull-buy,73,51
GMB,full-buysemi-buy,24,25
GMB,full-buysemi-eco,17,10
GMB,semi-buyeco,6,9
GMB,semi-buyfull-buy,21,26
GMB,semi-buysemi-buy,13,11
GMB,semi-buysemi-eco,2,5
GMB,semi-ecoeco,0,0
GMB,semi-ecofull-buy,8,6
GMB,semi-ecosemi-buy,1,2
GMB,semi-ecosemi-eco,0,0
ARROW,ecoeco,3,1
ARROW,ecofull-buy,0,0
ARROW,ecosemi-buy,1,1
ARROW,ecosemi-eco,0,0
ARROW,full-buyeco,0,0
ARROW,full-buyfull-buy,3,7
ARROW,full-buysemi-buy,1,1
ARROW,full-buysemi-eco,0,0
ARROW,semi-buyeco,0,0
ARROW,semi-buyfull-buy,0,7
ARROW,semi-buysemi-buy,0,3
ARROW,semi-buysemi-eco,0,1
ARROW,semi-ecoeco,0,0
ARROW,semi-ecofull-buy,0,3
ARROW,semi-ecosemi-buy,0,2
ARROW,semi-ecosemi-eco,0,0
C9,ecoeco,6,10
C9,ecofull-buy,1,1
C9,ecosemi-buy,7,6
C9,ecosemi-eco,0,0
C9,full-buyeco,0,0
C9,full-buyfull-buy,29,35
C9,full-buysemi-buy,13,9
C9,full-buysemi-eco,3,0
C9,semi-buyeco,0,0
C9,semi-buyfull-buy,22,18
C9,semi-buysemi-buy,1,8
C9,semi-buysemi-eco,1,0
C9,semi-ecoeco,0,0
C9,semi-ecofull-buy,9,9
C9,semi-ecosemi-buy,0,2
C9,semi-ecosemi-eco,0,0
19,ecoeco,1,3
19,ecofull-buy,0,0
19,ecosemi-buy,0,0
19,ecosemi-eco,0,0
19,full-buyeco,1,0
19,full-buyfull-buy,9,4
19,full-buysemi-buy,6,3
19,full-buysemi-eco,3,0
19,semi-buyeco,2,1
19,semi-buyfull-buy,2,1
19,semi-buysemi-buy,2,0
19,semi-buysemi-eco,0,1
19,semi-ecoeco,0,0
19,semi-ecofull-buy,0,0
19,semi-ecosemi-buy,0,0
19,semi-ecosemi-eco,0,0
LIXA,ecoeco,1,3
LIXA,ecofull-buy,0,0
LIXA,ecosemi-buy,1,2
LIXA,ecosemi-eco,0,0
LIXA,full-buyeco,0,0
LIXA,full-buyfull-buy,8,8
LIXA,full-buysemi-buy,1,4
LIXA,full-buysemi-eco,0,0
LIXA,semi-buyeco,0,0
LIXA,semi-buyfull-buy,0,4
LIXA,semi-buysemi-buy,1,0
LIXA,semi-buysemi-eco,0,0
LIXA,semi-ecoeco,0,0
LIXA,semi-ecofull-buy,1,4
LIXA,semi-ecosemi-buy,0,1
LIXA,semi-ecosemi-eco,0,0
FUR,ecoeco,5,7
FUR,ecofull-buy,1,1
FUR,ecosemi-buy,6,5
FUR,ecosemi-eco,0,0
FUR,full-buyeco,0,0
FUR,full-buyfull-buy,23,30
FUR,full-buysemi-buy,5,5
FUR,full-buysemi-eco,1,4
FUR,semi-buyeco,0,1
FUR,semi-buyfull-buy,8,10
FUR,semi-buysemi-buy,5,2
FUR,semi-buysemi-eco,0,0
FUR,semi-ecoeco,0,0
FUR,semi-ecofull-buy,7,8
FUR,semi-ecosemi-buy,0,0
FUR,semi-ecosemi-eco,0,0
VALO,ecoeco,4,8
VALO,ecofull-buy,1,2
VALO,ecosemi-buy,1,6
VALO,ecosemi-eco,0,0
VALO,full-buyeco,0,0
VALO,full-buyfull-buy,20,30
VALO,full-buysemi-buy,4,3
VALO,full-buysemi-eco,2,0
VALO,semi-buyeco,1,3
VALO,semi-buyfull-buy,6,11
VALO,semi-buysemi-buy,2,1
VALO,semi-buysemi-eco,0,1
VALO,semi-ecoeco,0,0
VALO,semi-ecofull-buy,4,9
VALO,semi-ecosemi-buy,0,2
VALO,semi-ecosemi-eco,0,0
IWNL,ecoeco,4,6
IWNL,ecofull-buy,1,0
IWNL,ecosemi-buy,2,4
IWNL,ecosemi-eco,0,0
IWNL,full-buyeco,0,0
IWNL,full-buyfull-buy,23,15
IWNL,full-buysemi-buy,8,5
IWNL,full-buysemi-eco,7,1
IWNL,semi-buyeco,1,2
IWNL,semi-buyfull-buy,7,6
IWNL,semi-buysemi-buy,2,0
IWNL,semi-buysemi-eco,0,0
IWNL,semi-ecoeco,0,0
IWNL,semi-ecofull-buy,7,4
IWNL,semi-ecosemi-buy,0,0
IWNL,semi-ecosemi-eco,0,0
PSRK,ecoeco,0,2
PSRK,ecofull-buy,0,0
PSRK,ecosemi-buy,0,1
PSRK,ecosemi-eco,0,0
PSRK,full-buyeco,0,0
PSRK,full-buyfull-buy,1,3
PSRK,full-buysemi-buy,0,0
PSRK,full-buysemi-eco,0,0
PSRK,semi-buyeco,0,0
PSRK,semi-buyfull-buy,1,2
PSRK,semi-buysemi-buy,0,0
PSRK,semi-buysemi-eco,0,0
PSRK,semi-ecoeco,0,0
PSRK,semi-ecofull-buy,0,4
PSRK,semi-ecosemi-buy,0,1
PSRK,semi-ecosemi-eco,0,0
LFT,ecoeco,3,1
LFT,ecofull-buy,0,1
LFT,ecosemi-buy,1,1
LFT,ecosemi-eco,0,0
LFT,full-buyeco,1,0
LFT,full-buyfull-buy,3,9
LFT,full-buysemi-buy,1,3
LFT,full-buysemi-eco,0,0
LFT,semi-buyeco,0,2
LFT,semi-buyfull-buy,3,5
LFT,semi-buysemi-buy,1,0
LFT,semi-buysemi-eco,0,0
LFT,semi-ecoeco,0,0
LFT,semi-ecofull-buy,1,4
LFT,semi-ecosemi-buy,0,0
LFT,semi-ecosemi-eco,0,0
UNGE,ecoeco,2,2
UNGE,ecofull-buy,0,0
UNGE,ecosemi-buy,2,2
UNGE,ecosemi-eco,0,0
UNGE,full-buyeco,0,0
UNGE,full-buyfull-buy,1,10
UNGE,full-buysemi-buy,2,2
UNGE,full-buysemi-eco,0,1
UNGE,semi-buyeco,0,0
UNGE,semi-buyfull-buy,0,6
UNGE,semi-buysemi-buy,0,0
UNGE,semi-buysemi-eco,0,0
UNGE,semi-ecoeco,0,0
UNGE,semi-ecofull-buy,1,3
UNGE,semi-ecosemi-buy,0,0
UNGE,semi-ecosemi-eco,0,0
TE,ecoeco,15,17
TE,ecofull-buy,0,3
TE,ecosemi-buy,3,6
TE,ecosemi-eco,0,0
TE,full-buyeco,0,2
TE,full-buyfull-buy,41,45
TE,full-buysemi-buy,17,8
